date,us_total_cases,us_new_cases,us_new_deaths,us_total_deaths
2021-07-03,33713870,4739.0,80.0,605493.0
2021-07-02,33709131,29698.0,394.0,605413.0
2021-07-01,33679433,14463.0,305.0,605019.0
2021-06-30,33664970,12872.0,240.0,604714.0
2021-06-29,33652098,11596.0,331.0,604474.0
2021-06-28,33640502,15083.0,150.0,604143.0
2021-06-27,33625419,3920.0,74.0,603993.0
2021-06-26,33621499,7303.0,147.0,603919.0
2021-06-25,33614196,23715.0,498.0,603772.0
2021-06-24,33590481,12830.0,341.0,603274.0
2021-06-23,33577651,12436.0,375.0,602933.0
2021-06-22,33565215,10940.0,323.0,602558.0
2021-06-21,33554275,12334.0,268.0,602235.0
2021-06-20,33541941,3892.0,88.0,601967.0
2021-06-19,33538049,8520.0,173.0,601879.0
2021-06-18,33529529,20591.0,594.0,601706.0
2021-06-17,33508938,10393.0,284.0,601112.0
2021-06-16,33498545,12425.0,371.0,600828.0
2021-06-15,33486120,11305.0,312.0,600457.0
2021-06-14,33474815,12730.0,174.0,600145.0
2021-06-13,33462085,4777.0,111.0,599971.0
2021-06-12,33457308,8228.0,286.0,599860.0
2021-06-11,33449080,24699.0,651.0,599574.0
2021-06-10,33424381,14545.0,428.0,598923.0
2021-06-09,33409836,18647.0,447.0,598495.0
2021-06-08,33391189,13013.0,339.0,598048.0
2021-06-07,33378176,15496.0,317.0,597709.0
2021-06-06,33362680,5395.0,169.0,597392.0
2021-06-05,33357285,13906.0,378.0,597223.0
2021-06-04,33343379,16850.0,534.0,596845.0
2021-06-03,33326529,19080.0,618.0,596311.0
2021-06-02,33307449,16917.0,556.0,595693.0
2021-06-01,33290532,22940.0,648.0,595137.0
2021-05-31,33267592,5775.0,152.0,594489.0
2021-05-30,33261817,6734.0,134.0,594337.0
2021-05-29,33255083,12001.0,331.0,594203.0
2021-05-28,33243082,21859.0,565.0,593872.0
2021-05-27,33221223,27448.0,1356.0,593307.0
2021-05-26,33193775,23976.0,981.0,591951.0
2021-05-25,33169799,22739.0,632.0,590970.0
2021-05-24,33147060,25815.0,446.0,590338.0
2021-05-23,33121245,12868.0,197.0,589892.0
2021-05-22,33108377,19798.0,495.0,589695.0
2021-05-21,33088579,27946.0,615.0,589200.0
2021-05-20,33060633,30206.0,682.0,588585.0
2021-05-19,33030427,29301.0,675.0,587903.0
2021-05-18,33001126,27789.0,770.0,587228.0
2021-05-17,32973337,28621.0,400.0,586458.0
2021-05-16,32944716,16875.0,278.0,586058.0
2021-05-15,32927841,28857.0,496.0,585780.0
2021-05-14,32898984,42260.0,655.0,585284.0
2021-05-13,32856724,38076.0,766.0,584629.0
2021-05-12,32818648,35826.0,768.0,583863.0
2021-05-11,32782822,33662.0,686.0,583095.0
2021-05-10,32749160,36798.0,414.0,582409.0
2021-05-09,32712362,21427.0,249.0,581995.0
2021-05-08,32690935,33675.0,629.0,581746.0
2021-05-07,32657260,48130.0,759.0,581117.0
2021-05-06,32609130,47557.0,799.0,580358.0
2021-05-05,32561573,44704.0,794.0,579559.0
2021-05-04,32516869,40723.0,875.0,578765.0
2021-05-03,32476146,50491.0,504.0,577890.0
2021-05-02,32425655,29403.0,337.0,577386.0
2021-05-01,32396252,45391.0,715.0,577049.0
2021-04-30,32350861,57919.0,753.0,576334.0
2021-04-29,32292942,58251.0,873.0,575581.0
2021-04-28,32234691,55150.0,968.0,574708.0
2021-04-27,32179541,50836.0,654.0,573740.0
2021-04-26,32128705,47568.0,494.0,573086.0
2021-04-25,32081137,32153.0,293.0,572592.0
2021-04-24,32048984,53495.0,748.0,572299.0
2021-04-23,31995489,62411.0,784.0,571551.0
2021-04-22,31933078,67278.0,966.0,570767.0
2021-04-21,31865800,62855.0,860.0,569801.0
2021-04-20,31802945,60949.0,842.0,568941.0
2021-04-19,31741996,68105.0,504.0,568099.0
2021-04-18,31673891,42121.0,337.0,567595.0
2021-04-17,31631770,52532.0,697.0,567258.0
2021-04-16,31579238,80071.0,869.0,566561.0
2021-04-15,31499167,74308.0,905.0,565692.0
2021-04-14,31424859,75403.0,955.0,564787.0
2021-04-13,31349456,77966.0,835.0,563832.0
2021-04-12,31271490,70075.0,479.0,562997.0
2021-04-11,31201415,46509.0,305.0,562518.0
2021-04-10,31154906,66687.0,712.0,562213.0
2021-04-09,31088219,82710.0,896.0,561501.0
2021-04-08,31005509,79894.0,1025.0,560605.0
2021-04-07,30925615,75021.0,2593.0,559580.0
2021-04-06,30850594,60674.0,861.0,556987.0
2021-04-05,30789920,77404.0,518.0,556126.0
2021-04-04,30712516,35133.0,297.0,555608.0
2021-04-03,30677383,63261.0,739.0,555311.0
2021-04-02,30614122,69887.0,952.0,554572.0
2021-04-01,30544235,79119.0,1077.0,553620.0
2021-03-31,30465116,66765.0,1077.0,552543.0
2021-03-30,30398351,61429.0,885.0,551466.0
2021-03-29,30336922,69273.0,710.0,550581.0
2021-03-28,30267649,43223.0,525.0,549871.0
2021-03-27,30224426,62842.0,791.0,549346.0
2021-03-26,30161584,77377.0,1151.0,548555.0
2021-03-25,30084207,67546.0,1402.0,547404.0
2021-03-24,30016661,86938.0,1511.0,546002.0
2021-03-23,29929723,53688.0,877.0,544491.0
2021-03-22,29876035,51436.0,722.0,543614.0
2021-03-21,29824599,33822.0,447.0,542892.0
2021-03-20,29790777,55519.0,737.0,542445.0
2021-03-19,29735258,61651.0,1147.0,541708.0
2021-03-18,29673607,60375.0,1660.0,540561.0
2021-03-17,29613232,59280.0,1216.0,538901.0
2021-03-16,29553952,54008.0,1188.0,537685.0
2021-03-15,29499944,56541.0,757.0,536497.0
2021-03-14,29443403,38278.0,578.0,535740.0
2021-03-13,29405125,53031.0,1006.0,535162.0
2021-03-12,29352094,61513.0,1565.0,534156.0
2021-03-11,29290581,62471.0,1553.0,532591.0
2021-03-10,29228110,57895.0,1572.0,531038.0
2021-03-09,29170215,57667.0,1809.0,529466.0
2021-03-08,29112548,44917.0,738.0,527657.0
2021-03-07,29067631,41073.0,699.0,526919.0
2021-03-06,29026558,58254.0,1506.0,526220.0
2021-03-05,28968304,66419.0,1783.0,524714.0
2021-03-04,28901885,68060.0,1941.0,522931.0
2021-03-03,28833825,67191.0,2468.0,520990.0
2021-03-02,28766634,57098.0,1957.0,518522.0
2021-03-01,28709536,58098.0,1521.0,516565.0
2021-02-28,28651438,51422.0,1091.0,515044.0
2021-02-27,28600016,64626.0,1518.0,513953.0
2021-02-26,28535390,77349.0,2067.0,512435.0
2021-02-25,28458041,77504.0,2451.0,510368.0
2021-02-24,28380537,74749.0,3169.0,507917.0
2021-02-23,28305788,72270.0,2282.0,504748.0
2021-02-22,28233518,56159.0,1325.0,502466.0
2021-02-21,28177359,57152.0,1232.0,501141.0
2021-02-20,28120207,71696.0,1823.0,499909.0
2021-02-19,28048511,79282.0,2612.0,498086.0
2021-02-18,27969229,69911.0,2529.0,495474.0
2021-02-17,27899318,70139.0,2409.0,492945.0
2021-02-16,27829179,62498.0,1751.0,490536.0
2021-02-15,27766681,54279.0,959.0,488785.0
2021-02-14,27712402,65135.0,1164.0,487826.0
2021-02-13,27647267,87219.0,2187.0,486662.0
2021-02-12,27560048,99670.0,2910.0,484475.0
2021-02-11,27460378,105764.0,3228.0,481565.0
2021-02-10,27354614,95250.0,3296.0,478337.0
2021-02-09,27259364,95265.0,3073.0,475041.0
2021-02-08,27164099,90438.0,1620.0,471968.0
2021-02-07,27073661,89746.0,1437.0,470348.0
2021-02-06,26983915,104176.0,2670.0,468911.0
2021-02-05,26879739,134422.0,3666.0,466241.0
2021-02-04,26745317,124006.0,3737.0,462575.0
2021-02-03,26621311,121691.0,3907.0,458838.0
2021-02-02,26499620,115303.0,3435.0,454931.0
2021-02-01,26384317,134975.0,2071.0,451496.0
2021-01-31,26249342,112152.0,1858.0,449425.0
2021-01-30,26137190,142459.0,2783.0,447567.0
2021-01-29,25994731,166613.0,3617.0,444784.0
2021-01-28,25828118,168804.0,4007.0,441167.0
2021-01-27,25659314,153961.0,3967.0,437160.0
2021-01-26,25505353,147626.0,4009.0,433193.0
2021-01-25,25357727,151677.0,1976.0,429184.0
2021-01-24,25206050,131198.0,1892.0,427208.0
2021-01-23,25074852,170759.0,3346.0,425316.0
2021-01-22,24904093,190760.0,3846.0,421970.0
2021-01-21,24713333,193856.0,4192.0,418124.0
2021-01-20,24519477,183261.0,4406.0,413932.0
2021-01-19,24336216,176216.0,2723.0,409526.0
2021-01-18,24160000,143598.0,1553.0,406803.0
2021-01-17,24016402,177931.0,1883.0,405250.0
2021-01-16,23838471,201858.0,3423.0,403367.0
2021-01-15,23636613,242780.0,3888.0,399944.0
2021-01-14,23393833,235766.0,3988.0,396056.0
2021-01-13,23158067,230301.0,4013.0,392068.0
2021-01-12,22927766,226967.0,4476.0,388055.0
2021-01-11,22700799,214664.0,2107.0,383579.0
2021-01-10,22486135,213415.0,2003.0,381472.0
2021-01-09,22272720,260967.0,3325.0,379469.0
2021-01-08,22011753,295257.0,4110.0,376144.0
2021-01-07,21716496,278337.0,3993.0,372034.0
2021-01-06,21438159,255637.0,3904.0,368041.0
2021-01-05,21182522,235042.0,3710.0,364137.0
2021-01-04,20947480,184005.0,2093.0,360427.0
2021-01-03,20763475,208853.0,1453.0,358334.0
2021-01-02,20554622,300462.0,2515.0,356881.0
2021-01-01,20254160,153916.0,2155.0,354366.0
2020-12-31,20100244,235600.0,3462.0,352211.0
2020-12-30,19864644,233701.0,3752.0,348749.0
2020-12-29,19630943,200408.0,3634.0,344997.0
2020-12-28,19430535,174152.0,2008.0,341363.0
2020-12-27,19256383,155845.0,1436.0,339355.0
2020-12-26,19100538,226416.0,1892.0,337919.0
2020-12-25,18874122,97880.0,1434.0,336027.0
2020-12-24,18776242,194155.0,2898.0,334593.0
2020-12-23,18582087,229624.0,3432.0,331695.0
2020-12-22,18352463,198107.0,3405.0,328263.0
2020-12-21,18154356,198703.0,1924.0,324858.0
2020-12-20,17955653,188015.0,1722.0,322934.0
2020-12-19,17767638,192102.0,2654.0,321212.0
2020-12-18,17575536,251832.0,2974.0,318558.0
2020-12-17,17323704,239900.0,3500.0,315584.0
2020-12-16,17083804,246644.0,3670.0,312084.0
2020-12-15,16837160,208992.0,3115.0,308414.0
2020-12-14,16628168,194314.0,1653.0,305299.0
2020-12-13,16433854,187971.0,1634.0,303646.0
2020-12-12,16245883,217797.0,2470.0,302012.0
2020-12-11,16028086,240089.0,3410.0,299542.0
2020-12-10,15787997,231428.0,2996.0,296132.0
2020-12-09,15556569,222648.0,3177.0,293136.0
2020-12-08,15333921,224452.0,2623.0,289959.0
2020-12-07,15109469,194409.0,1609.0,287336.0
2020-12-06,14915060,181253.0,1352.0,285727.0
2020-12-05,14733807,215811.0,2358.0,284375.0
2020-12-04,14517996,232644.0,2701.0,282017.0
2020-12-03,14285352,223421.0,2944.0,279316.0
2020-12-02,14061931,202894.0,2815.0,276372.0
2020-12-01,13859037,188339.0,2551.0,273557.0
2020-11-30,13670698,160321.0,1348.0,271006.0
2020-11-29,13510377,140328.0,1039.0,269658.0
2020-11-28,13370049,155661.0,1365.0,268619.0
2020-11-27,13214388,207933.0,1551.0,267254.0
2020-11-26,13006455,112526.0,1388.0,265703.0
2020-11-25,12893929,183403.0,2259.0,264315.0
2020-11-24,12710526,175544.0,2131.0,262056.0
2020-11-23,12534982,174089.0,1099.0,259925.0
2020-11-22,12360893,146947.0,1036.0,258826.0
2020-11-21,12213946,179436.0,1621.0,257790.0
2020-11-20,12034510,198333.0,1956.0,256169.0
2020-11-19,11836177,191510.0,2057.0,254213.0
2020-11-18,11644667,173251.0,1919.0,252156.0
2020-11-17,11471416,163958.0,1719.0,250237.0
2020-11-16,11307458,162624.0,834.0,248518.0
2020-11-15,11144834,136356.0,778.0,247684.0
2020-11-14,11008478,167926.0,1346.0,246906.0
2020-11-13,10840552,180398.0,1202.0,245560.0
2020-11-12,10660154,164750.0,1208.0,244358.0
2020-11-11,10495404,146750.0,1434.0,243150.0
2020-11-10,10348654,140504.0,1419.0,241716.0
2020-11-09,10208150,120434.0,779.0,240297.0
2020-11-08,10087716,115170.0,573.0,239518.0
2020-11-07,9972546.0,127510.0,1081.0,238945.0
2020-11-06,9845036.0,128033.0,1231.0,237864.0
2020-11-05,9717003.0,129367.0,1159.0,236633.0
2020-11-04,9587636.0,104541.0,1116.0,235474.0
2020-11-03,9483095.0,127198.0,1575.0,234358.0
2020-11-02,9355897.0,85211.0,574.0,232783.0
2020-11-01,9270686.0,104900.0,499.0,232209.0
2020-10-31,9165786.0,89754.0,924.0,231710.0
2020-10-30,9076032.0,99264.0,1059.0,230786.0
2020-10-29,8976768.0,91019.0,1004.0,229727.0
2020-10-28,8885749.0,79426.0,1034.0,228723.0
2020-10-27,8806323.0,76838.0,974.0,227689.0
2020-10-26,8729485.0,67310.0,533.0,226715.0
2020-10-25,8662175.0,62204.0,461.0,226182.0
2020-10-24,8599971.0,82767.0,952.0,225721.0
2020-10-23,8517204.0,81933.0,965.0,224769.0
2020-10-22,8435271.0,76310.0,894.0,223804.0
2020-10-21,8358961.0,63301.0,1119.0,222910.0
2020-10-20,8295660.0,61956.0,923.0,221791.0
2020-10-19,8233704.0,67717.0,488.0,220868.0
2020-10-18,8165987.0,49367.0,487.0,220380.0
2020-10-17,8116620.0,56759.0,761.0,219893.0
2020-10-16,8059861.0,69147.0,948.0,219132.0
2020-10-15,7990714.0,64880.0,842.0,218184.0
2020-10-14,7925834.0,59778.0,987.0,217342.0
2020-10-13,7866056.0,52231.0,801.0,216355.0
2020-10-12,7813825.0,41774.0,397.0,215554.0
2020-10-11,7772051.0,45981.0,465.0,215157.0
2020-10-10,7726070.0,54953.0,657.0,214692.0
2020-10-09,7671117.0,56384.0,969.0,214035.0
2020-10-08,7614733.0,58599.0,989.0,213066.0
2020-10-07,7556134.0,51056.0,923.0,212077.0
2020-10-06,7505078.0,45289.0,686.0,211154.0
2020-10-05,7459789.0,39376.0,481.0,210468.0
2020-10-04,7420413.0,35738.0,378.0,209987.0
2020-10-03,7384675.0,48577.0,682.0,209609.0
2020-10-02,7336098.0,54950.0,860.0,208927.0
2020-10-01,7281148.0,45650.0,869.0,208067.0
2020-09-30,7235498.0,39443.0,958.0,207198.0
2020-09-29,7196055.0,43338.0,836.0,206240.0
2020-09-28,7152717.0,33294.0,358.0,205404.0
2020-09-27,7119423.0,37528.0,315.0,205046.0
2020-09-26,7081895.0,44673.0,769.0,204731.0
2020-09-25,7037222.0,48295.0,940.0,203962.0
2020-09-24,6988927.0,47103.0,900.0,203022.0
2020-09-23,6941824.0,39069.0,1056.0,202122.0
2020-09-22,6902755.0,39866.0,1029.0,201066.0
2020-09-21,6862889.0,51878.0,425.0,200037.0
2020-09-20,6811011.0,38447.0,266.0,199612.0
2020-09-19,6772564.0,42202.0,732.0,199346.0
2020-09-18,6730362.0,49282.0,891.0,198614.0
2020-09-17,6681080.0,45130.0,858.0,197723.0
2020-09-16,6635950.0,39030.0,962.0,196865.0
2020-09-15,6596920.0,39492.0,1198.0,195903.0
2020-09-14,6557428.0,34423.0,432.0,194705.0
2020-09-13,6523005.0,34372.0,423.0,194273.0
2020-09-12,6488633.0,41101.0,711.0,193850.0
2020-09-11,6447532.0,47769.0,1164.0,193139.0
2020-09-10,6399763.0,36056.0,919.0,191975.0
2020-09-09,6363707.0,34049.0,1161.0,191056.0
2020-09-08,6329658.0,27226.0,455.0,189895.0
2020-09-07,6302432.0,23613.0,295.0,189440.0
2020-09-06,6278819.0,31218.0,472.0,189145.0
2020-09-05,6247601.0,43158.0,762.0,188673.0
2020-09-04,6204443.0,50382.0,957.0,187911.0
2020-09-03,6154061.0,44251.0,1031.0,186954.0
2020-09-02,6109810.0,41018.0,1073.0,185923.0
2020-09-01,6068792.0,41846.0,1029.0,184850.0
2020-08-31,6026946.0,35362.0,541.0,183821.0
2020-08-30,5991584.0,34404.0,441.0,183280.0
2020-08-29,5957180.0,42754.0,915.0,182839.0
2020-08-28,5914426.0,46832.0,978.0,181924.0
2020-08-27,5867594.0,45393.0,1115.0,180946.0
2020-08-26,5822201.0,45172.0,1162.0,179831.0
2020-08-25,5777029.0,40354.0,1230.0,178669.0
2020-08-24,5736675.0,36482.0,475.0,177439.0
2020-08-23,5700193.0,34247.0,545.0,176964.0
2020-08-22,5665946.0,43064.0,911.0,176419.0
2020-08-21,5622882.0,48843.0,1088.0,175508.0
2020-08-20,5574039.0,44041.0,1104.0,174420.0
2020-08-19,5529998.0,47320.0,1337.0,173316.0
2020-08-18,5482678.0,45033.0,1226.0,171979.0
2020-08-17,5437645.0,36652.0,493.0,170753.0
2020-08-16,5400993.0,39212.0,616.0,170260.0
2020-08-15,5361781.0,46951.0,1000.0,169644.0
2020-08-14,5314830.0,65336.0,1337.0,168644.0
2020-08-13,5249494.0,51316.0,1064.0,167307.0
2020-08-12,5198178.0,56040.0,1505.0,166243.0
2020-08-11,5142138.0,48003.0,1025.0,164738.0
2020-08-10,5094135.0,47606.0,634.0,163713.0
2020-08-09,5046529.0,45769.0,523.0,163079.0
2020-08-08,5000760.0,54134.0,1076.0,162556.0
2020-08-07,4946626.0,59303.0,1241.0,161480.0
2020-08-06,4887323.0,59349.0,1239.0,160239.0
2020-08-05,4827974.0,54466.0,1439.0,159000.0
2020-08-04,4773508.0,58774.0,1282.0,157561.0
2020-08-03,4714734.0,45501.0,583.0,156279.0
2020-08-02,4669233.0,45568.0,437.0,155696.0
2020-08-01,4623665.0,56201.0,1087.0,155259.0
2020-07-31,4567464.0,68712.0,1237.0,154172.0
2020-07-30,4498752.0,67466.0,1235.0,152935.0
2020-07-29,4431286.0,71873.0,1411.0,151700.0
2020-07-28,4359413.0,66412.0,1332.0,150289.0
2020-07-27,4293001.0,56783.0,1127.0,148957.0
2020-07-26,4236218.0,54816.0,531.0,147830.0
2020-07-25,4181402.0,64953.0,932.0,147299.0
2020-07-24,4116449.0,73319.0,1106.0,146367.0
2020-07-23,4043130.0,68445.0,1070.0,145261.0
2020-07-22,3974685.0,70579.0,1223.0,144191.0
2020-07-21,3904106.0,64461.0,1085.0,142968.0
2020-07-20,3839645.0,62107.0,563.0,141883.0
2020-07-19,3777538.0,60456.0,485.0,141320.0
2020-07-18,3717082.0,62536.0,859.0,140835.0
2020-07-17,3654546.0,72236.0,925.0,139976.0
2020-07-16,3582310.0,75866.0,955.0,139051.0
2020-07-15,3506444.0,68090.0,974.0,138096.0
2020-07-14,3438354.0,68051.0,928.0,137122.0
2020-07-13,3370303.0,58930.0,448.0,136194.0
2020-07-12,3311373.0,58424.0,472.0,135746.0
2020-07-11,3252949.0,60017.0,729.0,135274.0
2020-07-10,3192932.0,68057.0,816.0,134545.0
2020-07-09,3124875.0,62509.0,1020.0,133729.0
2020-07-08,3062366.0,60119.0,822.0,132709.0
2020-07-07,3002247.0,60661.0,1161.0,131887.0
2020-07-06,2941586.0,43106.0,377.0,130726.0
2020-07-05,2898480.0,50747.0,326.0,130349.0
2020-07-04,2847733.0,45693.0,315.0,130023.0
2020-07-03,2802040.0,51351.0,670.0,129708.0
2020-07-02,2750689.0,56636.0,710.0,129038.0
2020-07-01,2694053.0,51820.0,701.0,128328.0
2020-06-30,2642233.0,46420.0,555.0,127627.0
2020-06-29,2595813.0,41299.0,386.0,127072.0
2020-06-28,2554514.0,40734.0,316.0,126686.0
2020-06-27,2513780.0,41330.0,506.0,126370.0
2020-06-26,2472450.0,45999.0,628.0,125864.0
2020-06-25,2426451.0,40326.0,538.0,125236.0
2020-06-24,2386125.0,35878.0,737.0,124698.0
2020-06-23,2350247.0,37072.0,748.0,123961.0
2020-06-22,2313175.0,32144.0,407.0,123213.0
2020-06-21,2281031.0,25150.0,320.0,122806.0
2020-06-20,2255881.0,32280.0,558.0,122486.0
2020-06-19,2223601.0,31544.0,627.0,121928.0
2020-06-18,2192057.0,28537.0,688.0,121301.0
2020-06-17,2163520.0,27072.0,739.0,120613.0
2020-06-16,2136448.0,23667.0,813.0,119874.0
2020-06-15,2112781.0,19827.0,396.0,119061.0
2020-06-14,2092954.0,18941.0,345.0,118665.0
2020-06-13,2074013.0,25212.0,740.0,118320.0
2020-06-12,2048801.0,24828.0,829.0,117580.0
2020-06-11,2023973.0,23166.0,828.0,116751.0
2020-06-10,2000807.0,21111.0,879.0,115923.0
2020-06-09,1979696.0,18383.0,907.0,115044.0
2020-06-08,1961313.0,17616.0,509.0,114137.0
2020-06-07,1943697.0,17928.0,460.0,113628.0
2020-06-06,1925769.0,21142.0,642.0,113168.0
2020-06-05,1904627.0,25403.0,889.0,112526.0
2020-06-04,1879224.0,21658.0,1006.0,111637.0
2020-06-03,1857566.0,19857.0,1008.0,110631.0
2020-06-02,1837709.0,21502.0,980.0,109623.0
2020-06-01,1816207.0,17414.0,778.0,108643.0
2020-05-31,1798793.0,18983.0,617.0,107865.0
2020-05-30,1779810.0,23632.0,954.0,107248.0
2020-05-29,1756178.0,24478.0,1130.0,106294.0
2020-05-28,1731700.0,22320.0,1092.0,105164.0
2020-05-27,1709380.0,18551.0,1459.0,104072.0
2020-05-26,1690829.0,19663.0,678.0,102613.0
2020-05-25,1671166.0,18662.0,597.0,101935.0
2020-05-24,1652504.0,20077.0,640.0,101338.0
2020-05-23,1632427.0,21099.0,1086.0,100698.0
2020-05-22,1611328.0,23649.0,1222.0,99612.0
2020-05-21,1587679.0,25769.0,1185.0,98390.0
2020-05-20,1561910.0,22725.0,1499.0,97205.0
2020-05-19,1539185.0,20979.0,1460.0,95706.0
2020-05-18,1518206.0,22389.0,1223.0,94246.0
2020-05-17,1495817.0,18388.0,825.0,93023.0
2020-05-16,1477429.0,24135.0,1201.0,92198.0
2020-05-15,1453294.0,24733.0,1666.0,90997.0
2020-05-14,1428561.0,26817.0,1782.0,89331.0
2020-05-13,1401744.0,20433.0,1725.0,87549.0
2020-05-12,1381311.0,22927.0,1598.0,85824.0
2020-05-11,1358384.0,19298.0,1044.0,84226.0
2020-05-10,1339086.0,18805.0,987.0,83182.0
2020-05-09,1320281.0,25176.0,1463.0,82195.0
2020-05-08,1295105.0,26830.0,1758.0,80732.0
2020-05-07,1268275.0,27429.0,1925.0,78974.0
2020-05-06,1240846.0,24569.0,2309.0,77049.0
2020-05-05,1216277.0,24528.0,2215.0,74740.0
2020-05-04,1191749.0,24068.0,1390.0,72525.0
2020-05-03,1167681.0,24321.0,1197.0,71135.0
2020-05-02,1143360.0,27348.0,1730.0,69938.0
2020-05-01,1116012.0,34907.0,1915.0,68208.0
2020-04-30,1081105.0,29205.0,2188.0,66293.0
2020-04-29,1051900.0,26459.0,2410.0,64105.0
2020-04-28,1025441.0,24575.0,2225.0,61695.0
2020-04-27,1000866.0,23715.0,1520.0,59470.0
2020-04-26,977151.0,26488.0,1404.0,57950.0
2020-04-25,950663.0,30380.0,1716.0,56546.0
2020-04-24,920283.0,32327.0,2188.0,54830.0
2020-04-23,887956.0,33612.0,2458.0,52642.0
2020-04-22,854344.0,28911.0,2465.0,50184.0
2020-04-21,825433.0,25926.0,2505.0,47719.0
2020-04-20,799507.0,29820.0,2236.0,45214.0
2020-04-19,769687.0,26062.0,1977.0,42978.0
2020-04-18,743625.0,27907.0,1972.0,41001.0
2020-04-17,715718.0,33066.0,2113.0,39029.0
2020-04-16,682652.0,30002.0,2153.0,36916.0
2020-04-15,652650.0,25408.0,2607.0,34763.0
2020-04-14,627242.0,28818.0,2447.0,32156.0
2020-04-13,598424.0,26939.0,2015.0,29709.0
2020-04-12,571485.0,27256.0,1873.0,27694.0
2020-04-11,544229.0,29083.0,2126.0,25821.0
2020-04-10,515146.0,34403.0,2197.0,23695.0
2020-04-09,480743.0,35942.0,2211.0,21498.0
2020-04-08,444801.0,31235.0,2161.0,19287.0
2020-04-07,413566.0,30779.0,2573.0,17126.0
2020-04-06,382787.0,31390.0,1772.0,14553.0
2020-04-05,351397.0,29895.0,1615.0,12781.0
2020-04-04,321502.0,32386.0,1568.0,11166.0
2020-04-03,289116.0,32307.0,1429.0,9598.0
2020-04-02,256809.0,32222.0,1514.0,8169.0
2020-04-01,224587.0,32286.0,1284.0,6655.0
2020-03-31,192301.0,26314.0,1085.0,5371.0
2020-03-30,165987.0,22075.0,713.0,4286.0
2020-03-29,143912.0,18899.0,616.0,3573.0
2020-03-28,125013.0,19630.0,650.0,2957.0
2020-03-27,105383.0,18690.0,522.0,2307.0
2020-03-26,86693.0,17856.0,418.0,1785.0
2020-03-25,68837.0,12082.0,334.0,1367.0
2020-03-24,56755.0,10619.0,243.0,1033.0
2020-03-23,46136.0,11238.0,191.0,790.0
2020-03-22,34898.0,8873.0,124.0,599.0
2020-03-21,26025.0,5995.0,103.0,475.0
2020-03-20,20030.0,6367.0,106.0,372.0
2020-03-19,13663.0,4494.0,72.0,266.0
2020-03-18,9169.0,2657.0,60.0,194.0
2020-03-17,6512.0,1833.0,37.0,134.0
2020-03-16,4679.0,1467.0,27.0,97.0
2020-03-15,3212.0,234.0,12.0,70.0
2020-03-14,2978.0,759.0,7.0,58.0
2020-03-13,2219.0,633.0,8.0,51.0
2020-03-12,1586.0,439.0,10.0,43.0
2020-03-11,1147.0,365.0,5.0,33.0
2020-03-10,782.0,188.0,6.0,28.0
2020-03-09,594.0,75.0,1.0,22.0
2020-03-08,519.0,116.0,4.0,21.0
2020-03-07,403.0,166.0,3.0,17.0
2020-03-06,237.0,53.0,2.0,14.0
2020-03-05,184.0,77.0,1.0,12.0
2020-03-04,107.0,33.0,4.0,11.0
2020-03-03,74.0,19.0,1.0,7.0
2020-03-02,55.0,23.0,5.0,6.0
2020-03-01,32.0,7.0,0.0,1.0
2020-02-29,25.0,8.0,1.0,1.0
2020-02-28,17.0,0.0,,
2020-02-27,17.0,1.0,,
2020-02-26,16.0,0.0,,
2020-02-25,16.0,0.0,,
2020-02-24,16.0,0.0,,
2020-02-23,16.0,0.0,,
2020-02-22,16.0,0.0,,
2020-02-21,16.0,2.0,,
2020-02-20,14.0,0.0,,
2020-02-19,14.0,0.0,,
2020-02-18,14.0,0.0,,
2020-02-17,14.0,0.0,,
2020-02-16,14.0,0.0,,
2020-02-15,14.0,0.0,,
2020-02-14,14.0,0.0,,
2020-02-13,14.0,1.0,,
2020-02-12,13.0,0.0,,
2020-02-11,13.0,1.0,,
2020-02-10,12.0,0.0,,
2020-02-09,12.0,0.0,,
2020-02-08,12.0,0.0,,
2020-02-07,12.0,0.0,,
2020-02-06,12.0,1.0,,
2020-02-05,11.0,0.0,,
2020-02-04,11.0,0.0,,
2020-02-03,11.0,3.0,,
2020-02-02,8.0,0.0,,
2020-02-01,8.0,0.0,,
2020-01-31,8.0,2.0,,
2020-01-30,6.0,0.0,,
2020-01-29,6.0,1.0,,
2020-01-28,5.0,0.0,,
2020-01-27,5.0,0.0,,
2020-01-26,5.0,3.0,,
2020-01-25,2.0,0.0,,
2020-01-24,2.0,1.0,,
2020-01-23,1.0,0.0,,
2020-01-22,1.0,,,
